t_ms,base_yaw,base_pitch,elbow_pitch,wrist_roll,wrist_pitch
9062.0,7.45,-97.45,99.91,0.04,-47.56
9118.0,7.45,-97.45,99.91,0.04,-47.56
9174.0,7.45,-97.45,99.91,0.04,-47.56
9230.0,7.45,-97.45,99.91,0.04,-47.56
9281.4,7.45,-97.45,99.91,0.04,-47.56
9337.4,7.45,-97.45,99.91,0.04,-47.56
9393.4,7.45,-97.45,99.91,0.04,-47.56
9446.4,7.45,-97.45,99.91,0.04,-47.56
9502.4,7.45,-97.45,99.91,0.04,-47.56
9558.3,7.45,-97.45,99.91,0.04,-47.56
9613.6,7.45,-97.45,99.91,0.04,-47.56
9665.4,7.45,-97.45,99.91,0.04,-47.56
9721.4,7.45,-97.45,99.91,0.04,-47.56
9777.4,7.45,-97.45,99.91,0.04,-47.56
9830.7,7.45,-97.45,99.91,0.04,-47.56
9886.7,7.45,-97.45,99.91,0.04,-47.56
9942.7,7.45,-97.45,99.91,0.04,-47.56
9998.7,7.45,-97.45,99.91,0.04,-47.56
10051.0,7.45,-97.45,99.91,0.04,-47.56
10107.2,7.45,-97.45,99.91,0.04,-47.56
10159.1,7.45,-97.45,99.91,0.04,-47.56
10214.7,7.45,-97.45,99.91,0.04,-47.56
10270.6,7.45,-97.45,99.91,0.04,-47.56
10326.6,7.45,-97.45,99.91,0.04,-47.56
10382.6,7.45,-97.45,99.91,0.04,-47.56
10436.6,7.45,-97.45,99.91,0.04,-47.56
10492.0,7.45,-97.45,99.91,0.04,-47.56
10543.4,7.45,-97.45,99.91,0.04,-47.56
10598.7,7.45,-97.45,99.91,0.04,-47.56
10651.7,7.45,-97.45,99.91,0.04,-47.56
10707.7,7.45,-97.45,99.91,0.04,-47.56
10763.7,7.45,-97.45,99.91,0.04,-47.56
10819.7,7.45,-97.45,99.91,0.04,-47.56
10872.6,7.45,-97.45,99.91,0.04,-47.56
10927.3,7.45,-97.45,99.91,0.04,-47.56
10983.2,7.45,-97.45,99.91,0.04,-47.56
11039.2,7.45,-97.45,99.91,0.04,-47.56
11094.3,7.45,-97.45,99.91,0.04,-47.56
11150.3,7.45,-97.45,99.91,0.04,-47.56
11206.4,7.45,-97.45,99.91,0.04,-47.56
11262.4,7.45,-97.45,99.91,0.04,-47.56
11315.6,7.45,-97.45,99.91,0.04,-47.56
11370.5,7.45,-97.45,99.91,0.04,-47.56
11426.5,7.45,-97.45,99.91,0.04,-47.56
11481.8,7.45,-97.45,99.91,0.04,-47.56
11538.0,7.45,-97.45,99.91,0.04,-47.56
11594.0,7.45,-97.45,99.91,0.04,-47.56
11649.4,7.45,-97.45,99.91,0.04,-47.56
11705.6,7.45,-97.45,99.91,0.04,-47.56
11761.6,7.45,-97.45,99.91,0.04,-47.56
11815.8,7.45,-97.45,99.91,0.04,-47.56
11872.0,7.45,-97.45,99.91,0.04,-47.56
11928.0,7.45,-97.45,99.91,0.04,-47.56
11984.0,7.45,-97.45,99.91,0.04,-47.56
12040.1,7.45,-97.45,99.91,0.04,-47.56
12095.6,7.45,-97.45,99.91,0.04,-47.56
12151.6,7.45,-97.45,99.91,0.04,-47.56
12204.0,7.45,-97.45,99.91,0.04,-47.56
12260.0,7.45,-97.45,99.91,0.04,-47.56
12316.1,7.45,-97.45,99.91,0.04,-47.56
12372.0,7.45,-97.45,99.91,0.04,-47.56
12428.0,7.45,-97.45,99.91,0.04,-47.56
12483.9,7.45,-97.45,99.91,0.04,-47.56
12540.0,7.45,-97.45,99.91,0.04,-47.56
12596.0,7.45,-97.45,99.91,0.04,-47.56
12652.1,7.45,-97.45,99.91,0.04,-47.56
12705.0,7.45,-97.45,99.91,0.04,-47.56
12756.9,7.45,-97.45,99.91,0.04,-47.56
12812.9,7.45,-97.45,99.91,0.04,-47.56
12867.4,7.45,-97.45,99.91,0.04,-47.56
12923.6,7.45,-97.45,99.91,0.04,-47.56
12979.5,7.45,-97.45,99.91,0.04,-47.56
13035.5,7.45,-97.45,99.91,0.04,-47.56
13091.5,7.45,-97.45,99.91,0.04,-47.56
13147.5,7.45,-97.45,99.91,0.04,-47.56
13203.5,7.45,-97.45,99.91,0.04,-47.56
13259.5,7.45,-97.45,99.91,0.04,-47.56
13315.4,7.45,-97.45,99.91,0.04,-47.56
13366.7,7.45,-97.45,99.91,0.04,-47.56
13419.4,7.45,-97.45,99.91,0.04,-47.56
13472.7,7.45,-97.45,99.91,0.04,-47.56
13528.7,7.45,-97.45,99.91,0.04,-47.56
13581.9,7.45,-97.45,99.91,0.04,-47.56
13637.9,7.45,-97.45,99.91,0.04,-47.56
13691.6,7.45,-97.45,99.91,0.04,-47.56
13747.6,7.45,-97.45,99.91,0.04,-47.56
13803.6,7.45,-97.45,99.91,0.04,-47.56
13859.8,7.45,-97.45,99.91,0.04,-47.56
13915.7,7.45,-97.45,99.91,0.04,-47.56
13971.7,7.45,-97.45,99.91,0.04,-47.56
14027.7,7.45,-97.45,99.91,0.04,-47.56
14083.7,7.45,-97.45,99.91,0.04,-47.56
14139.7,7.45,-97.45,99.91,0.04,-47.56
14193.3,7.45,-97.45,99.91,0.04,-47.56
14249.4,7.45,-97.45,99.91,0.04,-47.56
14305.4,7.45,-97.45,99.91,0.04,-47.56
14361.4,7.45,-97.45,99.91,0.04,-47.56
14417.4,7.45,-97.45,99.91,0.04,-47.56
14473.5,7.45,-97.45,99.91,0.04,-47.56
14524.8,7.45,-97.45,99.91,0.04,-47.56
14577.5,7.45,-97.45,99.91,0.04,-47.56
14630.7,7.45,-97.45,99.91,0.04,-47.56
14682.8,7.45,-97.45,99.91,0.04,-47.56
14737.4,7.45,-97.45,99.91,0.04,-47.56
14793.5,7.45,-97.45,99.91,0.04,-47.56
14849.5,7.45,-97.45,99.91,0.04,-47.56
14904.9,7.45,-97.45,99.91,0.04,-47.56
14960.0,7.45,-97.45,99.91,0.04,-47.56
15014.7,7.45,-97.45,99.91,0.04,-47.56
15066.7,7.45,-97.45,99.91,0.04,-47.56
15122.8,7.45,-97.45,99.91,0.04,-47.56
15178.8,7.45,-97.45,99.91,0.04,-47.56
15234.9,7.45,-97.45,99.91,0.04,-47.56
15290.5,7.45,-97.45,99.91,0.04,-47.56
15343.4,7.45,-97.45,99.91,0.04,-47.56
15399.3,7.45,-97.45,99.91,0.04,-47.56
15452.5,7.45,-97.45,99.91,0.04,-47.56
15505.4,7.45,-97.45,99.91,0.04,-47.56
15561.4,7.45,-97.45,99.91,0.04,-47.56
15617.4,7.45,-97.45,99.91,0.04,-47.56
15673.4,7.45,-97.45,99.91,0.04,-47.56
15729.4,7.45,-97.45,99.91,0.04,-47.56
15782.7,7.45,-97.45,99.91,0.04,-47.56
15837.4,7.45,-97.45,99.91,0.04,-47.56
15893.4,7.45,-97.45,99.91,0.04,-47.56
15948.0,7.45,-97.45,99.91,0.04,-47.56
16004.1,7.45,-97.45,99.91,0.04,-47.56
16055.5,7.45,-97.45,99.91,0.04,-47.56
16108.0,7.45,-97.45,99.91,0.04,-47.56
16161.4,7.45,-97.45,99.91,0.04,-47.56
16214.7,7.45,-97.45,99.91,0.04,-47.56
16270.5,7.45,-97.45,99.91,0.04,-47.56
16326.5,7.45,-97.45,99.91,0.04,-47.56
16381.8,7.45,-97.45,99.91,0.04,-47.56
16433.4,7.45,-97.45,99.91,0.04,-47.56
16489.5,7.45,-97.45,99.91,0.04,-47.56
16545.4,7.45,-97.45,99.91,0.04,-47.56
16598.8,7.45,-97.45,99.91,0.04,-47.56
16654.8,7.45,-97.45,99.91,0.04,-47.56
16710.8,7.45,-97.45,99.91,0.04,-47.56
16766.8,7.45,-97.45,99.91,0.04,-47.56
16822.9,7.45,-97.45,99.91,0.04,-47.56
16878.8,7.45,-97.45,99.91,0.04,-47.56
16934.7,7.45,-97.45,99.91,0.04,-47.56
16990.8,7.45,-97.45,99.91,0.04,-47.56
17046.9,7.45,-97.45,99.91,0.04,-47.56
17099.9,7.45,-97.45,99.91,0.04,-47.56
17153.5,7.45,-97.45,99.91,0.04,-47.56
17209.7,7.45,-97.45,99.91,0.04,-47.56
17265.4,7.45,-97.45,99.91,0.04,-47.56
17317.6,7.45,-97.45,99.91,0.04,-47.56
17371.5,7.45,-97.45,99.91,0.04,-47.56
17427.6,7.45,-97.45,99.91,0.04,-47.56
17482.3,7.45,-97.45,99.91,0.04,-47.56
17538.4,7.45,-97.45,99.91,0.04,-47.56
17594.3,7.45,-97.45,99.91,0.04,-47.56
17649.4,7.45,-97.45,99.91,0.04,-47.56
17705.4,7.45,-97.45,99.91,0.04,-47.56
17761.4,7.45,-97.45,99.91,0.04,-47.56
17817.3,7.45,-97.45,99.91,0.04,-47.56
17869.4,7.45,-97.45,99.91,0.04,-47.56
17925.5,7.45,-97.45,99.91,0.04,-47.56
17978.0,7.45,-97.45,99.91,0.04,-47.56
18033.4,7.45,-97.45,99.91,0.04,-47.56
18089.3,7.45,-97.45,99.91,0.04,-47.56
18144.6,7.45,-97.45,99.91,0.04,-47.56
18197.9,7.45,-97.45,99.91,0.04,-47.56
18252.7,7.45,-97.45,99.91,0.04,-47.56
18305.4,7.45,-97.45,99.91,0.04,-47.56
18361.3,7.45,-97.45,99.91,0.04,-47.56
18415.2,7.45,-97.45,99.91,0.04,-47.56
18469.4,7.45,-97.45,99.91,0.04,-47.56
18524.1,7.45,-97.45,99.91,0.04,-47.56
18576.7,7.45,-97.45,99.91,0.04,-47.56
18632.6,7.45,-97.45,99.91,0.04,-47.56
18688.8,7.45,-97.45,99.91,0.04,-47.56
18744.8,7.45,-97.45,99.91,0.04,-47.56
18800.8,7.45,-97.45,99.91,0.04,-47.56
18856.9,7.45,-97.45,99.91,0.04,-47.56
18913.0,7.45,-97.45,99.91,0.04,-47.56
18966.7,7.45,-97.45,99.91,0.04,-47.56
19021.1,7.45,-97.45,99.91,0.04,-47.56
19076.6,7.45,-97.45,99.91,0.04,-47.56
19131.9,7.45,-97.45,99.91,0.04,-47.56
19188.2,7.45,-97.45,99.91,0.04,-47.56
19244.2,7.45,-97.45,99.91,0.04,-47.56
19300.3,7.45,-97.45,99.91,0.04,-47.56
19356.0,7.45,-97.45,99.91,0.04,-47.56
19412.0,7.45,-97.45,99.91,0.04,-47.56
19467.9,7.45,-97.45,99.91,0.04,-47.56
19524.0,7.45,-97.45,99.91,0.04,-47.56
19579.9,7.45,-97.45,99.91,0.04,-47.56
19635.9,7.45,-97.45,99.91,0.04,-47.56
19692.0,7.45,-97.45,99.91,0.04,-47.56
19748.0,7.45,-97.45,99.91,0.04,-47.56
19799.3,7.45,-97.45,99.91,0.04,-47.56
19855.3,7.45,-97.45,99.91,0.04,-47.56
19911.3,7.45,-97.45,99.91,0.04,-47.56
19965.6,7.45,-97.45,99.91,0.04,-47.56
20017.4,7.45,-97.45,99.91,0.04,-47.56
20073.4,7.45,-97.45,99.91,0.04,-47.56
20129.4,7.45,-97.45,99.91,0.04,-47.56
20185.4,7.45,-97.45,99.91,0.04,-47.56
20241.4,7.45,-97.45,99.91,0.04,-47.56
20297.4,7.45,-97.45,99.91,0.04,-47.56
20353.4,7.45,-97.45,99.91,0.04,-47.56
20406.7,7.45,-97.45,99.91,0.04,-47.56
20458.3,7.45,-97.45,99.91,0.04,-47.56
20513.4,7.45,-97.45,99.91,0.04,-47.56
20565.1,7.45,-97.45,99.91,0.04,-47.56
20616.7,7.45,-97.45,99.91,0.04,-47.56
20668.0,7.45,-97.45,99.91,0.04,-47.56
20724.1,7.45,-97.45,99.91,0.04,-47.56
20780.3,7.45,-97.45,99.91,0.04,-47.56
20833.4,7.45,-97.45,99.91,0.04,-47.56
20889.4,7.45,-97.45,99.91,0.04,-47.56
20945.4,7.45,-97.45,99.91,0.04,-47.56
21001.4,7.45,-97.45,99.91,0.04,-47.56
21057.6,7.45,-97.45,99.91,0.04,-47.56
21113.6,7.45,-97.45,99.91,0.04,-47.56
21164.9,7.45,-97.45,99.91,0.04,-47.56
21220.5,7.45,-97.45,99.91,0.04,-47.56
21276.5,7.45,-97.45,99.91,0.04,-47.56
21332.5,7.45,-97.45,99.91,0.04,-47.56
21388.1,7.45,-97.45,99.91,0.04,-47.56
21444.2,7.45,-97.45,99.91,0.04,-47.56
21500.1,7.45,-97.45,99.91,0.04,-47.56
21556.2,7.45,-97.45,99.91,0.04,-47.56
21612.1,7.45,-97.45,99.91,0.04,-47.56
21666.4,7.45,-97.45,99.91,0.04,-47.56
21722.3,7.45,-97.45,99.91,0.04,-47.56
21778.5,7.45,-97.45,99.91,0.04,-47.56
21834.5,7.45,-97.45,99.91,0.04,-47.56
21886.1,7.45,-97.45,99.91,0.04,-47.56
21942.1,7.45,-97.45,99.91,0.04,-47.56
21998.1,7.45,-97.45,99.91,0.04,-47.56
22051.8,7.45,-97.45,99.91,0.04,-47.56
22103.4,7.45,-97.45,99.91,0.04,-47.56
22159.4,7.45,-97.45,99.91,0.04,-47.56
22212.7,7.45,-97.45,99.91,0.04,-47.56
22268.8,7.45,-97.45,99.91,0.04,-47.56
22324.7,7.45,-97.45,99.91,0.04,-47.56
